Incident_Closure_Notes,Detailed_Enhancement_Options
"OrderUp image already available in nexus, please find the link below._x000D_
https://nexusrepo.thehartford.com/#browse/search=keyword%3DOrderUp:bb883d67eaa127a9fce1a23c8be4cea3",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
All the jar files has been uploaded to Nexus,Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"spoke to user, user would be getting in it touch with ansible team for packaging . ","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
uploaded required file,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
Requested components have been removed from Nexus,Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
user needed additional info regarding settings.xml beyond what was in the nexus documentation regarding id and token,Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
Guided user to fix security violations for iq scan issue,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"consulted with customer on this, will be closing this ticket","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
Please submit a Nexus third-party upload ticket. Sample ticket - RITM2607250,Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"removed from Nexus repository as per customer request _x000D_
ansible/Oracle_Client/sqldeveloper_21.4.2.zip",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"As per the request removed the MAVEN2 formats for com.evinced cypress-sdk 3.15.0 AND com.evinced js-playwright-sdk 1.13.0. _x000D_
 These are not applicable to the maven format and exist in NPM format.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"'@evinced/js-playwright-sdk/-/js-playwright-sdk-1.13.0.tgz  exists in Nexus repo_x000D_
_x000D_
https://nexusrepodirect.thehartford.com/#browse/search=keyword%3Devinced%2Fjs-playwright-sdk%2F-%2Fjs-playwright-sdk-1.13.0.tgz%20:7cf3d05f93de6d941c892b0563c70c4f:0d4ae111ffb080dad5c430b27796e562",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"https://teams.microsoft.com/l/message/19:meeting_MGVhNWNlOTctYzg0My00MWFjLWJkYTItNDdlNzAyNmJjMjI2@thread.v2/1710531612626?context=%7B%22contextType%22%3A%22chat%22%7D_x000D_
required component are present in nexus,  added additional lines to pull those dependencies.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Deleted from nexus:_x000D_
Himco.DataDeliveryData.General.Services version 3.2.6-beta_x000D_
Himco.DataDeliveryData.General version 3.2.6-beta",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"File has been uploaded in the below path. Please verify and confirm._x000D_
_x000D_
https://nexusrepo.thehartford.com/#browse/search=keyword%3Dcom.thehartford.cto.cto_bpcm_cast:4d4efcd062aeb7949e66c582da8d993b:7b65e98a1d67bee6e31aa5bd0e446570",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"These have been uploaded to Nexus_x000D_
https://nexusrepo.thehartford.com/#browse/search=keyword%3Dpsp%20AND%20group.raw%3Dcom.hig.wctriage%20AND%20version%3D2.0.0",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"User request details : there is no source code repo of the jar, meaning we are not able to build the jar with jenkins (or maybe there is a way. I just don't know how). Also, the jar is not a third party jar. We don't have information of group id, artifact id etc._x000D_
We generated the jar with a XSD file and xmlbeans command (one example is ""scomp -out corporation.jar corporation.xsd""). We want to upload it to corporate Nexus under the same group id and artifact id as this one Search - Nexus Repository Manager (thehartford.com)_x000D_
 _x000D_
SDF Team response:_x000D_
As I said earlier, it should be done through jenkins pipeline. please find the comments below._x000D_
we do not upload artifacts which are generated locally which will violate the HIG policy. Application team has to extract the jar content and follow CICD process to rebuild it and push it to Nexus.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
Components have been removed,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"User doesn't have access to Nexus portal, hence requested to submit RITM for the same.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
Push access provided and tested successfully,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
Please refer this documentation - https://github.thehartford.com/HIG/cto_sdf_documentation/wiki/Nexus-IQ---Remediating-Vulnerabilities,Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Artifacts uploaded to nexus_x000D_
https://nexusrepo.thehartford.com/#browse/search=attributes.maven2.groupId%3Dcom.hig.wctriage%20AND%20attributes.maven2.baseVersion%3D2.0.0%20AND%20attributes.maven2.artifactId%3Dpte-wctriage*",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Hope build looks good and i'm closing the ticket._x000D_
please rechout to me incase of any issues/concerns.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
Emailed the requested details. ,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"Each time a new version comes out and goes through Nexus and if Nexus flags it and puts it in quarantine, then it must be reviewed. There is no automation to grant exceptions. ",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Artifact upload has been completed: _x000D_
 https://nexusrepo.thehartford.com/#browse/search=keyword%3D%22com%2Fhig%2Fpl%2Fqa-pl-priority-level-fe%2F2.0.0%22_x000D_
  https://nexusrepo.thehartford.com/#browse/search=keyword%3D%22com%2Fhig%2Fpl%2Fpte-pl-priority-level-fe%2F2.0.0%22",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"[Yesterday 11:50 AM] Owen, Ben (Chief Information Office - IT)_x000D_
_x000D_
Looks like these are all quarantined due to a license clause. License remediation is handled by IT Asset Management_x000D_
_x000D_
[Yesterday 11:51 AM] Owen, Ben (Chief Information Office - IT)_x000D_
_x000D_
You can send an email to SWCompliance.Corp@thehartford.com with the details on the component names and versions that you would like released from quarantine and they will take a look at the license and approve/deny_x000D_
_x000D_
[Yesterday 11:52 AM] Owen, Ben (Chief Information Office - IT)_x000D_
_x000D_
most of the time they'll grant the waiver_x000D_
_x000D_
[Yesterday 11:52 AM] Owen, Ben (Chief Information Office - IT)_x000D_
_x000D_
I would also mention in the email that this is in the npm-proxy repo and include this link to Nexus IQ_x000D_
_x000D_
https://iqnexus.thehartford.com/assets/index.html#/repository/2459de5b17964ef48851a93c4b891c27/result_x000D_
_x000D_
[Yesterday 12:10 PM] Baechle, Alie (Chief Information Office - IT)_x000D_
_x000D_
Thank you so much, I appreciate your help with this!_x000D_
_x000D_
[Yesterday 12:30 PM] Vemasani, Lokeswara Rao (Infrastructure)_x000D_
_x000D_
Thanks Ben",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Upgraded the Nexus IQ CLI _x000D_
Report is updated with latest code",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"'- Telerik.Documents.SpreadsheetStreaming 2023.1.410_x000D_
 _x000D_
https://nexusrepo.thehartford.com/#browse/search=keyword%3D%22Telerik.Documents.SpreadsheetStreaming%2F2023.1.410%22_x000D_
_x000D_
- Telerik.Documents.DrawingML 2023.1.410 _x000D_
_x000D_
https://nexusrepo.thehartford.com/#browse/search=keyword%3D%22Telerik.Documents.DrawingML%2F2023.1.410%22",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Currently, Nexus Repository Manager does not support the storage of Hugging Face AI models. This is due to the large size of these models, which can lead to timeouts when attempting to upload them to a raw repository._x000D_
_x000D_
Hugging Face model repository does not follow any repository format that Nexus can proxy.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
Please find the details in the work notes,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"Please follow Nexus third-party upload - sample ticket - RITM2607250_x000D_
_x000D_
In case of further queries you can reach out to me",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
Files no longer exists. Confirmed with user. ,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
provided guidance to customer,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"Met with Ed Morelli,_x000D_
_x000D_
 _x000D_
_x000D_
Discussed storing dynatrace-gcp-monitoring package in Nexus._x000D_
_x000D_
The package to store will be dynatrace/dynatrace-gcp-monitor_x000D_
_x000D_
dynatrace/dynatrace-gcp-monitor Tags | Docker Hub_x000D_
release-1.5.2_x000D_
_x000D_
 _x000D_
_x000D_
advised and assisted Ed to create a new RITM RITM5160382 for the image_x000D_
_x000D_
 _x000D_
_x000D_
The software will be stored in Nexus under existing Dynatrace repo with a new directory for ""GCP"".  further related GCP images could be stored in this same repo directory.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
task completed,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"User update not longer required changes so close the ticket, please regenerate a ticket for future changes.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"User id is in AD1 domain, and the nexus group is in AD2 domain._x000D_
Requested user to  update her id to AD2 to avoid the conflict.",Enhance integration with Nexus Repository by auto-linking related repositories and search results. Develop a plugin to fetch relevant documentation based on errors detected in tickets.
"Microsoft.TypeScript.MSBuild 5.3.3  component is quarantined with Violation of License-SeeClause, waivered from quarantine.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"_x000D_
Gayathri Srinivasan_x000D_
Additional comments•2024-10-07 13:01:48_x000D_
this has been solved.. could you please close the ticket.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"format has been changed from maven2 to npm,_x000D_
actually uploaded files to npm_internal_hosted repo.","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
Requester confirmed on closure of this ticket .,"Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
"_x000D_
Added App manually to IQ as requested","Review for enhancement opportunities: consider implementing tagging, summarization, or knowledge base linking for better handling of general support tickets."
